target_far,baseline,baseline_label,proposed_recall,baseline_recall,delta_pp,p_ttest,effect_size,effect_size_name,effect_label,test_used,n_seeds,p_ttest_holm,significant_holm
2.5,GradientBoosting,Gradient boosting,28.13852813852814,22.020202020202017,6.118326118326119,0.0005917597046437452,1.4798585130467898,hedges_g,,welch,15,0.010059914978943669,True
2.5,LogReg/Ridge,Logistic / Ridge,28.13852813852814,29.668109668109672,-1.5295815295815307,0.0105201531440603,-1.0369961222070856,hedges_g,,welch,15,0.1578022971609045,False
2.5,Ours w/o Attention,CTPF w/o attention,28.13852813852814,27.994227994227995,0.14430014430014376,0.8459111894994877,0.05111668286274656,d_z,negligible,paired,15,1.0,False
2.5,Single AE,Spectrogram-only,28.13852813852814,14.372294372294373,13.766233766233768,6.206969131455017e-11,4.534931244742091,d_z,large,paired,15,1.6138119741783045e-09,True
5.0,GradientBoosting,Gradient boosting,33.04473304473304,34.978354978354986,-1.9336219336219336,0.10596365115862591,-0.6056488071770959,hedges_g,,welch,15,1.0,False
5.0,LogReg/Ridge,Logistic / Ridge,33.04473304473304,32.23665223665223,0.8080808080808087,0.09490453569194027,0.6164301355713343,hedges_g,,welch,15,1.0,False
5.0,Ours w/o Attention,CTPF w/o attention,33.04473304473304,32.58297258297258,0.46176046176046387,0.22890328997262924,0.32486293204549727,d_z,negligible,paired,15,1.0,False
5.0,Single AE,Spectrogram-only,33.04473304473304,24.96392496392496,8.080808080808083,4.142880348333457e-06,1.8751688481825577,d_z,medium,paired,15,7.871472661833567e-05,True
7.5,GradientBoosting,Gradient boosting,40.63492063492064,44.559884559884566,-3.9249639249639254,0.004744171726387033,-1.1175609286736459,hedges_g,,welch,15,0.07590674762219253,False
7.5,LogReg/Ridge,Logistic / Ridge,40.63492063492064,35.93073593073594,4.704184704184703,7.482209043627797e-07,2.5385000938371207,hedges_g,,welch,15,1.4964418087255593e-05,True
7.5,Ours w/o Attention,CTPF w/o attention,40.63492063492064,39.855699855699854,0.77922077922078,0.2832511345608842,0.2881251558216966,d_z,negligible,paired,15,1.0,False
7.5,Single AE,Spectrogram-only,40.63492063492064,34.02597402597402,6.608946608946611,0.0003000830985090818,1.2310989196099493,d_z,medium,paired,15,0.005401495773163472,True
10.0,GradientBoosting,Gradient boosting,50.93795093795094,52.84271284271285,-1.904761904761906,0.09439821721534332,-0.6321277610664157,hedges_g,,welch,15,1.0,False
10.0,LogReg/Ridge,Logistic / Ridge,50.93795093795094,50.67821067821068,0.2597402597402578,0.486873448267101,0.2503390630739852,hedges_g,,welch,15,1.0,False
10.0,Ours w/o Attention,CTPF w/o attention,50.93795093795094,50.476190476190474,0.4617604617604627,0.24869961171770275,0.31076959608133914,d_z,negligible,paired,15,1.0,False
10.0,Single AE,Spectrogram-only,50.93795093795094,41.298701298701296,9.639249639249638,1.0297340867561981e-09,3.671501606463318,d_z,large,paired,15,2.265414990863636e-08,True
12.5,GradientBoosting,Gradient boosting,60.31746031746032,59.94227994227994,0.37518037518037584,0.737828209079259,0.12024150478946717,hedges_g,,welch,15,1.0,False
12.5,LogReg/Ridge,Logistic / Ridge,60.31746031746032,62.106782106782106,-1.789321789321787,0.028295028680583263,-0.8289255942116825,hedges_g,,welch,15,0.3961304015281657,False
12.5,Ours w/o Attention,CTPF w/o attention,60.31746031746032,60.83694083694083,-0.5194805194805189,0.3358216987131748,-0.25734926951079473,d_z,negligible,paired,15,1.0,False
12.5,Single AE,Spectrogram-only,60.31746031746032,47.59018759018759,12.727272727272728,2.1074862494264465e-08,2.9073713293868195,d_z,large,paired,15,4.425721123795538e-07,True
15.0,GradientBoosting,Gradient boosting,76.65223665223665,66.78210678210678,9.87012987012987,6.724760926337323e-11,3.8371400434668965,hedges_g,,welch,15,1.6811902315843307e-09,True
15.0,LogReg/Ridge,Logistic / Ridge,76.65223665223665,68.83116883116885,7.821067821067815,1.2211091891253078e-11,3.9065359741964474,hedges_g,,welch,15,3.2969948106383313e-10,True
15.0,Ours w/o Attention,CTPF w/o attention,76.65223665223665,75.78643578643577,0.865800865800865,0.2761174183218506,0.29262076364295225,d_z,negligible,paired,15,1.0,False
15.0,Single AE,Spectrogram-only,76.65223665223665,54.48773448773448,22.164502164502164,3.3094788959451185e-13,6.664058863943981,d_z,large,paired,15,9.928436687835355e-12,True
17.5,GradientBoosting,Gradient boosting,83.66522366522365,72.005772005772,11.659451659451657,1.1619818577812106e-10,4.895651834365031,hedges_g,,welch,15,2.7887564586749056e-09,True
17.5,LogReg/Ridge,Logistic / Ridge,83.66522366522365,74.74747474747477,8.917748917748915,1.1234555687309785e-12,5.3824742289288015,hedges_g,,welch,15,3.258021149319837e-11,True
17.5,Ours w/o Attention,CTPF w/o attention,83.66522366522365,83.29004329004329,0.37518037518037206,0.3189882770115301,0.2667944940318808,d_z,negligible,paired,15,1.0,False
17.5,Single AE,Spectrogram-only,83.66522366522365,60.721500721500725,22.943722943722943,7.776954494264507e-15,8.746983915982653,d_z,large,paired,15,2.488625438164642e-13,True
20.0,GradientBoosting,Gradient boosting,86.40692640692639,75.61327561327562,10.79365079365079,4.857121192312088e-10,4.6232962568275235,hedges_g,,welch,15,1.1171378742317804e-08,True
20.0,LogReg/Ridge,Logistic / Ridge,86.40692640692639,77.31601731601731,9.090909090909088,2.9613786805510024e-12,5.5231436255798165,hedges_g,,welch,15,8.291860305542807e-11,True
20.0,Ours w/o Attention,CTPF w/o attention,86.40692640692639,85.9163059163059,0.49062049062049196,0.1619556371381258,0.3812223232840852,d_z,negligible,paired,15,1.0,False
20.0,Single AE,Spectrogram-only,86.40692640692639,64.76190476190476,21.645021645021643,4.5120958361922996e-14,7.702079842374074,d_z,large,paired,15,1.3987497092196128e-12,True
