metric,setting,full_mean,setting_mean,delta,p_ttest,p_wilcoxon,effect_dz,effect_label,n_seeds,testable,p_ttest_holm,significant_holm
pr_auc,drop_all,0.7346828405467101,0.5941740195142937,-0.14050882103241624,2.1716089521829e-09,0.0078125,-13.52397161823535,large,8,True,5.64618327567554e-08,True
pr_auc,drop_crest_factor,0.7346828405467101,0.7367838907754979,0.0021010502287878013,0.3856078201302177,0.546875,0.3271361530159936,negligible,8,True,1.0,False
pr_auc,drop_cumulative_energy,0.7346828405467101,0.6825914936352494,-0.052091346911460695,8.419883397904656e-06,0.0078125,-4.068469334915095,large,8,True,0.00016839766795809311,True
pr_auc,drop_energy_trend_slope,0.7346828405467101,0.7429727602652989,0.008289919718588876,0.002880236422584104,0.0078125,1.5824897715766157,medium,8,True,0.048964019183929765,True
pr_auc,drop_inter_segment,0.7346828405467101,0.5928971896648764,-0.14178565088183367,1.5707474987629861e-09,0.0078125,-14.16714342469654,large,8,True,4.2410182466600625e-08,True
pr_auc,drop_intra_segment,0.7346828405467101,0.7302422985438923,-0.004440542002817738,0.15384439622343068,0.1953125,-0.5653458952432024,small,8,True,1.0,False
pr_auc,drop_kurtosis,0.7346828405467101,0.7305718979717778,-0.004110942574932289,0.14800731986216834,0.1953125,-0.5748266113108655,small,8,True,1.0,False
pr_auc,drop_peak_amplitude,0.7346828405467101,0.7347977776191192,0.0001149370724092269,0.9494595586023875,0.7421875,0.023225750757997026,negligible,8,True,1.0,False
pr_auc,drop_rms_energy,0.7346828405467101,0.7372504884574353,0.0025676479107253347,0.1510338931981086,0.1953125,0.5698681613941183,small,8,True,1.0,False
recall_fixed,drop_all,81.06060606060606,53.841991341991346,-27.218614718614717,2.5414873077244225e-08,0.0078125,-9.49612151506712,large,8,True,5.845420807766172e-07,True
recall_fixed,drop_crest_factor,81.06060606060606,81.87229437229438,0.8116883116883145,0.04917371420480308,0.078125,0.8400268812903103,small,8,True,0.7867794272768492,False
recall_fixed,drop_cumulative_energy,81.06060606060606,61.85064935064935,-19.20995670995671,1.9620222217263442e-08,0.0078125,-9.856766052027684,large,8,True,4.905055554315861e-07,True
recall_fixed,drop_energy_trend_slope,81.06060606060606,81.33116883116884,0.27056277056277267,0.5120968099862842,0.65625,0.2441411571860702,negligible,8,True,1.0,False
recall_fixed,drop_inter_segment,81.06060606060606,53.78787878787878,-27.27272727272727,2.0598747212141046e-08,0.0078125,-9.787923593687383,large,8,True,4.943699330913851e-07,True
recall_fixed,drop_intra_segment,81.06060606060606,82.95454545454545,1.8939393939393945,0.0004448023812481534,0.0078125,2.1923992222621695,large,8,True,0.008451245243714914,True
recall_fixed,drop_kurtosis,81.06060606060606,81.27705627705629,0.21645021645021956,0.5164895523012196,0.53125,0.24152294576982794,negligible,8,True,1.0,False
recall_fixed,drop_peak_amplitude,81.06060606060606,81.27705627705627,0.216450216450216,0.45123887200167845,0.5,0.28203803740888267,negligible,8,True,1.0,False
recall_fixed,drop_rms_energy,81.06060606060606,80.79004329004329,-0.27056277056276734,0.5368137858617601,0.453125,-0.229588421688666,negligible,8,True,1.0,False
rmse,drop_all,2.6233831488532013,2.9973438422081786,0.3739606933549775,1.5088323422955786e-07,0.0078125,7.341654849995235,large,8,True,3.168547918820715e-06,True
rmse,drop_crest_factor,2.6233831488532013,2.6166543473653383,-0.006728801487862923,0.4908727128988579,0.546875,-0.25699975237901707,negligible,8,True,1.0,False
rmse,drop_cumulative_energy,2.6233831488532013,2.752099345794663,0.12871619694146152,0.001048612553992344,0.0078125,1.8963506456387407,medium,8,True,0.01887502597186219,True
rmse,drop_energy_trend_slope,2.6233831488532013,2.6293085613423064,0.005925412489105053,0.34965653346664033,0.4609375,0.3543062849482402,negligible,8,True,1.0,False
rmse,drop_inter_segment,2.6233831488532013,2.975954642604605,0.35257149375140345,4.010948789647894e-08,0.0078125,8.891542463576558,large,8,True,8.824087337225366e-07,True
rmse,drop_intra_segment,2.6233831488532013,2.6381714951435087,0.014788346290307286,0.3485963538962093,0.4609375,0.3551395045589714,negligible,8,True,1.0,False
rmse,drop_kurtosis,2.6233831488532013,2.6229693099338682,-0.0004138389193332759,0.9630340990410209,0.640625,-0.016981107001699424,negligible,8,True,1.0,False
rmse,drop_peak_amplitude,2.6233831488532013,2.636515102240542,0.013131953387340745,0.28331860590391506,0.25,0.41082860881840516,negligible,8,True,1.0,False
rmse,drop_rms_energy,2.6233831488532013,2.625600609630863,0.0022174607776620503,0.813184261729602,0.3125,0.08676282702095031,negligible,8,True,1.0,False
