metric,higher_is_better,baseline,baseline_label,proposed_mean,proposed_std,baseline_mean,baseline_std,baseline_deterministic_observed,baseline_deterministic_nominal,baseline_variance_source,test_used,mean_improvement,pct_improvement,t_stat,p_ttest,p_rank,effect_size_name,effect_size,effect_label,n_seeds,wins,p_ttest_holm,significant_holm,rank_test_p_floor,rank_test_underpowered
precision_fixed,True,LogReg/Ridge,Logistic / Ridge,65.43020744257892,0.7214334074267167,60.61846864068148,0.9704427303278588,False,False,train_bootstrap,welch,4.811738801897452,7.937743908410547,15.411344677311902,1.5188343092892958e-14,3.3833394126542183e-06,hedges_g,5.475334781351937,,15,15,3.3414354804364506e-13,True,6.103515625e-05,False
precision_fixed,True,GradientBoosting,Gradient boosting,65.43020744257892,0.7214334074267167,64.357219439552,1.750787319102158,False,False,train_bootstrap,welch,1.0729880030269092,1.6672379763621101,2.1945837732750593,0.04109146919275677,0.08894688604381429,hedges_g,0.7796906185670615,,15,10,0.04109146919275677,True,6.103515625e-05,False
far_fixed,False,Single AE,Spectrogram-only,16.287753981328937,0.5459229010829482,13.629873695771554,0.951425375372006,False,False,init_and_shuffle,paired,-2.657880285557385,-19.500402900886375,10.416778012462947,5.62016951154938e-08,0.0006533107814151376,d_z,2.6896005175605726,large,15,0,3.372101706929628e-07,True,6.103515625e-05,False
far_fixed,False,LogReg/Ridge,Logistic / Ridge,16.287753981328937,0.5459229010829482,18.780889621087315,0.5320148060935416,False,False,train_bootstrap,welch,2.4931356397583757,13.274853801169597,-12.667086135902688,4.1553812162355324e-13,3.2011198351344887e-06,hedges_g,-4.500355987780446,,15,15,7.479686189223959e-12,True,6.103515625e-05,False
far_fixed,False,GradientBoosting,Gradient boosting,16.287753981328937,0.5459229010829482,13.069741900054915,1.2463898262767326,False,False,train_bootstrap,welch,-3.2180120812740247,-24.621848739495793,9.159445118218468,1.9549901048132582e-08,6.547298648723043e-06,hedges_g,3.2541630522024825,,15,0,1.3684930733692807e-07,True,6.103515625e-05,False
rmse,False,Single AE,Spectrogram-only,2.6269677325880356,0.02232613785025816,2.9785907635305855,0.05876598305244632,False,False,init_and_shuffle,paired,0.3516230309425504,11.805013137345671,-20.853578030406272,6.0978730776989444e-12,6.103515625e-05,d_z,-5.38437069470669,large,15,15,8.537022308778522e-11,True,6.103515625e-05,False
rmse,False,LogReg/Ridge,Logistic / Ridge,2.6269677325880356,0.02232613785025816,2.8844161159746733,0.00978549692375046,False,False,train_bootstrap,welch,0.2574483833866376,8.92549386202702,-40.90392187359488,3.914947164360874e-20,3.3918213908250945e-06,hedges_g,-14.532324778765556,,15,15,9.00437847803001e-19,True,6.103515625e-05,False
rmse,False,GradientBoosting,Gradient boosting,2.6269677325880356,0.02232613785025816,2.914778438426424,0.05571094922289874,False,False,train_bootstrap,welch,0.2878107058383886,9.874188104457312,-18.572514025300393,2.304677274948796e-13,3.3918213908250945e-06,hedges_g,-6.598433436478768,,15,15,4.3788868224027126e-12,True,6.103515625e-05,False
mae,False,Single AE,Spectrogram-only,2.247004667917887,0.04426588447690694,2.3263610045115155,0.03507171803737793,False,False,init_and_shuffle,paired,0.07935633659362792,3.411178937393296,-6.889393927590653,7.449232825044734e-06,0.0001220703125,d_z,-1.7788338631347402,medium,15,14,2.9796931300178936e-05,True,6.103515625e-05,False
mae,False,LogReg/Ridge,Logistic / Ridge,2.247004667917887,0.04426588447690694,2.4037881747847893,0.021359841829549097,False,False,train_bootstrap,welch,0.15678350686690218,6.522351200140128,-12.354451875858167,7.191628228015786e-11,3.3918213908250945e-06,hedges_g,-4.389283445201859,,15,15,7.191628228015786e-10,True,6.103515625e-05,False
mae,False,GradientBoosting,Gradient boosting,2.247004667917887,0.04426588447690694,2.476391008681217,0.050612834437100074,False,False,train_bootstrap,welch,0.22938634076332975,9.262928994621397,-13.212646136564402,1.9717502450798912e-13,3.3918213908250945e-06,hedges_g,-4.694182270267983,,15,15,3.943500490159783e-12,True,6.103515625e-05,False
r2,True,Single AE,Spectrogram-only,0.5023094654083252,0.008461187851128748,0.3599704106648763,0.02540387836798325,False,False,init_and_shuffle,paired,0.1423390547434489,39.54187636715594,19.904710159034813,1.1472516176473371e-11,6.103515625e-05,d_z,5.139374063801827,large,15,15,1.3767019411768045e-10,True,6.103515625e-05,False
r2,True,LogReg/Ridge,Logistic / Ridge,0.5023094654083252,0.008461187851128748,0.4000140027581302,0.004075517777665621,False,False,train_bootstrap,welch,0.10229546265019501,25.57297043224967,42.18556830148625,3.800012737262065e-21,3.3918213908250945e-06,hedges_g,14.98766747669119,,15,15,9.120030569428956e-20,True,6.103515625e-05,False
r2,True,GradientBoosting,Gradient boosting,0.5023094654083252,0.008461187851128748,0.3871138995400592,0.02352794395796374,False,False,train_bootstrap,welch,0.11519556586826599,29.757538028247772,17.843795747324204,1.0698401829965023e-12,3.3918213908250945e-06,hedges_g,6.339534773399495,,15,15,1.7117442927944037e-11,True,6.103515625e-05,False
