metric,higher_is_better,baseline,baseline_label,proposed_mean,proposed_std,baseline_mean,baseline_std,baseline_deterministic_observed,baseline_deterministic_nominal,baseline_variance_source,test_used,mean_improvement,pct_improvement,t_stat,p_ttest,p_rank,effect_size_name,effect_size,effect_label,n_seeds,wins,p_ttest_holm,significant_holm,rank_test_p_floor,rank_test_underpowered
pr_auc,True,Ours w/o Attention,CTPF w/o attention,0.7358620377945876,0.006170276385367724,0.7327820016116228,0.005224685649207551,False,False,init_and_shuffle,paired,0.003080036182964885,0.4203209380403581,1.5325073026411689,0.14767930813207505,0.207763671875,d_z,0.3956916840713664,negligible,15,9,1.0,False,6.103515625e-05,False
roc_auc,True,Ours w/o Attention,CTPF w/o attention,0.8940915390668274,0.001649303157421229,0.8932392886264388,0.001474819845956176,False,False,init_and_shuffle,paired,0.000852250440388828,0.0954112130131848,1.8664070642789212,0.08307023950669853,0.191356864878787,d_z,0.4819042318130758,negligible,15,8,0.6645619160535883,False,6.103515625e-05,False
recall_fixed,True,Ours w/o Attention,CTPF w/o attention,80.98124098124097,0.9323046518234415,80.25974025974025,1.4245365706707132,False,False,init_and_shuffle,paired,0.7215007215007186,0.8989572096368178,1.3959853350516538,0.18446344880248502,0.17636653125404755,d_z,0.3604418636136557,negligible,15,10,1.0,False,6.103515625e-05,False
precision_fixed,True,Ours w/o Attention,CTPF w/o attention,65.43020744257892,0.7214334074267167,65.42390529185492,0.5993007347515056,False,False,init_and_shuffle,paired,0.006302150723994752,0.009632795070671744,0.025997677842696482,0.9796261313191914,0.93408203125,d_z,0.0067125715549886025,negligible,15,7,1.0,False,6.103515625e-05,False
far_fixed,False,Ours w/o Attention,CTPF w/o attention,16.287753981328937,0.5459229010829482,16.144975288303133,0.48632568415560845,False,False,init_and_shuffle,paired,-0.1427786930258101,-0.8843537414965991,0.773355589326782,0.45217301131725196,0.47630774931311326,d_z,0.1996795545439366,negligible,15,6,1.0,False,6.103515625e-05,False
rmse,False,Ours w/o Attention,CTPF w/o attention,2.6269677325880356,0.02232613785025816,2.6373681617297646,0.023234712838643836,False,False,init_and_shuffle,paired,0.010400429141728533,0.39434877893222264,-1.4487318331953611,0.16943897040887324,0.1876220703125,d_z,-0.3740609508724117,negligible,15,11,1.0,False,6.103515625e-05,False
mae,False,Ours w/o Attention,CTPF w/o attention,2.247004667917887,0.04426588447690694,2.247388728459676,0.03543185827439215,False,False,init_and_shuffle,paired,0.0003840605417888258,0.0170891905314509,-0.047898911843783136,0.9624734090272108,0.5994873046875,d_z,-0.01236744585816195,negligible,15,8,1.0,False,6.103515625e-05,False
r2,True,Ours w/o Attention,CTPF w/o attention,0.5023094654083252,0.008461187851128748,0.4983583291371663,0.008836895933282962,False,False,init_and_shuffle,paired,0.003951136271158847,0.7928303873238468,1.4515560091559059,0.1686640460658944,0.1876220703125,d_z,0.3747901499698749,negligible,15,11,1.0,False,6.103515625e-05,False
