seed,model,n_params,bootstrap,variance_source,n_iter,pr_auc,roc_auc,baseline_pr_auc,pr_auc_headroom,far_fixed,recall_fixed,precision_fixed,f1_fixed,threshold_used,far_overshoot,far_drift_vs_selection,far_05,recall_05,recall_at_far_oracle,rmse,mae,r2,bias,cyc_bias_std_across_cycles,cyc_bias_range,n_positive,n_negative,recall_at_far2p5,recall_at_far5,recall_at_far7p5,recall_at_far10,recall_at_far12p5,recall_at_far15,recall_at_far17p5,recall_at_far20,max_iter_cls,max_iter_reg
11,LogReg/Ridge,6,True,train_bootstrap,13.0,0.7200952978376034,0.8764771746649835,0.2756563245823389,0.6135747274924409,19.110378912685338,73.5930735930736,59.44055944055944,65.76402321083172,0.5098290155104017,4.110378912685338,10.110378912685338,20.098846787479406,74.45887445887446,67.09956709956711,2.8811048551137373,2.3959265502472347,0.4013971898033747,-0.1265054672778181,2.2783301286205604,4.363189567456096,231,607,29.87012987012987,33.76623376623377,37.22943722943723,48.917748917748916,60.17316017316018,67.09956709956711,71.86147186147186,74.45887445887446,,
11,GradientBoosting,6,True,train_bootstrap,,0.6649485386186292,0.878566792899577,0.2756563245823389,0.5374413103169873,12.355848434925864,63.2034632034632,66.0633484162896,64.60176991150443,0.48201376970015536,-2.644151565074136,3.355848434925864,12.026359143327841,61.904761904761905,70.12987012987013,2.920328455049624,2.4791190239834897,0.3849873864174518,0.1318363636392411,2.5477553876301866,4.449256089207237,231,607,13.41991341991342,31.601731601731604,49.78354978354979,53.67965367965368,63.20346320346321,70.12987012987013,74.89177489177489,78.35497835497836,100.0,50.0
22,LogReg/Ridge,6,True,train_bootstrap,12.0,0.7266543852209463,0.8820685080981621,0.2756563245823389,0.6226299420348484,18.945634266886326,76.19047619047619,60.48109965635739,67.43295019157088,0.5088275908293212,3.9456342668863265,9.945634266886326,20.098846787479406,76.62337662337663,68.83116883116884,2.897851021445012,2.4361398950168343,0.3944183150902967,-0.09901728278048848,2.310432511106372,4.42597925845668,231,607,29.43722943722944,32.03463203463203,35.4978354978355,50.649350649350644,61.471861471861466,68.83116883116884,75.32467532467533,76.62337662337663,,
22,GradientBoosting,6,True,train_bootstrap,,0.708184238319568,0.8828173473972486,0.2756563245823389,0.5971307935943954,13.509060955518946,64.5021645021645,64.5021645021645,64.5021645021645,0.5250503497520149,-1.4909390444810544,4.509060955518946,13.838550247116968,65.36796536796537,69.26406926406926,2.856048194223209,2.4080647087110614,0.41176388319243296,0.042755875317816834,2.4687381772580337,4.367657783623791,231,607,22.51082251082251,40.25974025974026,46.320346320346324,57.57575757575758,60.60606060606061,69.26406926406926,71.86147186147186,73.59307359307358,150.0,50.0
33,LogReg/Ridge,6,True,train_bootstrap,13.0,0.7300526535102652,0.8846430889264498,0.2756563245823389,0.6273214557522276,17.957166392092258,77.05627705627705,62.02090592334495,68.72586872586874,0.48628523532419915,2.957166392092258,8.957166392092258,16.803953871499175,75.32467532467533,69.6969696969697,2.884042461582266,2.402110490366947,0.40017588336144505,-0.1038680213115156,2.263741881255336,4.330379246538854,231,607,30.303030303030305,31.16883116883117,35.93073593073593,51.515151515151516,63.20346320346321,69.6969696969697,76.62337662337663,78.78787878787878,,
33,GradientBoosting,6,True,train_bootstrap,,0.7454015247884511,0.8906409351219895,0.2756563245823389,0.6485114955069555,12.520593080724877,66.66666666666667,66.95652173913044,66.81127982646422,0.44512792715735694,-2.4794069192751227,3.5205930807248773,11.696869851729819,62.77056277056277,70.56277056277057,2.8362356469589254,2.4212786566241715,0.4198968216509381,0.11726025173699069,2.471298633478139,4.355161931561762,231,607,29.43722943722944,43.290043290043286,52.38095238095239,56.709956709956714,65.36796536796537,70.56277056277057,79.22077922077922,81.81818181818183,100.0,50.0
44,LogReg/Ridge,6,True,train_bootstrap,13.0,0.7283086972871432,0.883437814245063,0.2756563245823389,0.6249138193189885,19.110378912685338,76.19047619047619,60.273972602739725,67.30401529636711,0.4948594295195801,4.110378912685338,10.110378912685338,18.28665568369028,76.19047619047619,69.26406926406926,2.8838291231788764,2.4186684754645458,0.4002646204644037,-0.059847752947261156,2.2830357597582993,4.374003655954959,231,607,29.87012987012987,31.601731601731604,35.064935064935064,51.082251082251084,62.77056277056276,69.26406926406926,75.75757575757575,77.92207792207793,,
44,GradientBoosting,6,True,train_bootstrap,,0.7227797887081306,0.8843506850096637,0.2756563245823389,0.6172808285624605,15.156507413509061,69.26406926406926,63.492063492063494,66.25258799171843,0.42987791289431154,0.15650741350906117,6.156507413509061,12.191103789126853,63.63636363636363,68.3982683982684,2.9073649491684654,2.4671892223442997,0.3904354201405318,0.14832340295178065,2.523747076132127,4.384955527409879,231,607,24.675324675324674,34.63203463203463,45.02164502164502,56.27705627705628,64.06926406926407,68.3982683982684,73.59307359307358,78.78787878787878,50.0,50.0
55,LogReg/Ridge,6,True,train_bootstrap,14.0,0.7178251537983643,0.8741022843164524,0.2756563245823389,0.6104406571384338,19.27512355848435,73.5930735930736,59.23344947735192,65.63706563706565,0.5005935246370224,4.275123558484349,10.27512355848435,19.27512355848435,73.5930735930736,64.93506493506493,2.890707976548139,2.376932007907298,0.3974000873264375,-0.2003930898157465,2.2544405551989435,4.318697762661412,231,607,29.87012987012987,34.1991341991342,38.52813852813853,50.649350649350644,59.74025974025974,64.93506493506493,70.995670995671,74.02597402597402,,
55,GradientBoosting,6,True,train_bootstrap,,0.6692559181123211,0.8685394780946676,0.2756563245823389,0.5433879067184927,12.520593080724877,57.57575757575758,63.63636363636363,60.454545454545446,0.46277765495837037,-2.4794069192751227,3.5205930807248773,11.532125205930807,55.84415584415584,64.93506493506493,2.9071219998685347,2.4574932051517373,0.39053729046155405,0.15301650002610848,2.550369048818833,4.492672600636472,231,607,19.480519480519483,31.601731601731604,42.42424242424242,49.78354978354979,57.57575757575758,64.93506493506493,72.72727272727273,74.89177489177489,50.0,50.0
66,LogReg/Ridge,6,True,train_bootstrap,14.0,0.728981996317424,0.8844933210666325,0.2756563245823389,0.6258433491169708,19.43986820428336,77.4891774891775,60.26936026936027,67.80303030303031,0.49681646966615906,4.439868204283361,10.43986820428336,19.110378912685338,77.05627705627705,70.12987012987013,2.8788067491056406,2.4027205184159146,0.40235175698559966,-0.1217691558377871,2.2871604665064242,4.37588922463121,231,607,29.87012987012987,31.601731601731604,34.63203463203463,51.515151515151516,64.93506493506493,70.12987012987013,76.19047619047619,78.78787878787878,,
66,GradientBoosting,6,True,train_bootstrap,,0.681119313279103,0.8677264525699453,0.2756563245823389,0.5597660371134898,14.497528830313016,62.77056277056277,62.23175965665236,62.50000000000001,0.4479212167071015,-0.5024711696869844,5.497528830313016,12.520593080724877,58.00865800865801,64.93506493506493,2.9669966083094974,2.537548305042128,0.36517397517167516,0.27360389959910697,2.6381546943706535,4.6314280235071195,231,607,22.943722943722943,32.03463203463203,43.290043290043286,51.94805194805194,57.57575757575758,64.93506493506493,67.53246753246754,72.2943722943723,50.0,50.0
77,LogReg/Ridge,6,True,train_bootstrap,13.0,0.7238932308274955,0.8796722223410857,0.2756563245823389,0.6188180023615176,18.616144975288304,75.32467532467533,60.62717770034843,67.18146718146718,0.4885543364210963,3.6161449752883037,9.616144975288304,17.29818780889621,73.16017316017316,67.09956709956711,2.877430406835285,2.3886247839720904,0.40292308530215826,-0.09877453745976678,2.2412221432183306,4.292605768283304,231,607,29.43722943722944,32.467532467532465,35.93073593073593,49.78354978354979,61.038961038961034,67.09956709956711,73.16017316017316,75.32467532467533,,
77,GradientBoosting,6,True,train_bootstrap,,0.6377500090634968,0.8596675153512056,0.2756563245823389,0.4998921047697039,12.191103789126853,54.54545454545455,63.0,58.46867749419954,0.5199064219038912,-2.8088962108731472,3.1911037891268528,12.685337726523889,55.41125541125541,61.904761904761905,2.921670993025584,2.4783812237439937,0.3844217873123613,0.16172048705039538,2.5519572930361543,4.46385758054796,231,607,12.554112554112553,32.467532467532465,40.25974025974026,46.320346320346324,54.54545454545454,61.904761904761905,69.6969696969697,74.02597402597402,200.0,50.0
88,LogReg/Ridge,6,True,train_bootstrap,14.0,0.7238874203712923,0.879436872847087,0.2756563245823389,0.618809980677336,18.780889621087315,74.45887445887446,60.13986013986014,66.53771760154739,0.5056166739816318,3.780889621087315,9.780889621087315,19.604612850082372,75.32467532467533,68.3982683982684,2.8921948157458557,2.4118614830780216,0.39678003189406874,-0.1416292895860673,2.293481298674409,4.3953492426836895,231,607,29.87012987012987,33.76623376623377,35.93073593073593,49.78354978354979,61.038961038961034,68.3982683982684,72.72727272727273,77.05627705627705,,
88,GradientBoosting,6,True,train_bootstrap,,0.6856604850771292,0.8791516007331494,0.2756563245823389,0.5660353978494799,12.685337726523889,63.2034632034632,65.47085201793722,64.31718061674007,0.4295027248140177,-2.3146622734761113,3.6853377265238887,12.026359143327841,61.47186147186147,70.12987012987013,2.8940997879670873,2.465897866336757,0.3959851368096101,0.08855250211726053,2.525718188939594,4.394228323460767,231,607,17.316017316017316,33.76623376623377,47.18614718614719,54.54545454545454,61.904761904761905,70.12987012987013,74.89177489177489,79.65367965367966,100.0,50.0
