setting,description,seed,n_seeds_total,masked,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
drop_peak_amplitude,peak_amplitude 제외,11,8,peak_amplitude,0.7368536278554095,0.8940927277006353,80.08658008658008,65.83629893238434,15.815485996705107,2.608706360083179,2.2729480266571045,0.5092378854751587
drop_peak_amplitude,peak_amplitude 제외,22,8,peak_amplitude,0.7270084041842136,0.8921457455230108,81.81818181818181,64.94845360824742,16.803953871499175,2.6967920637583735,2.309021234512329,0.47553616762161255
drop_peak_amplitude,peak_amplitude 제외,33,8,peak_amplitude,0.7395832715141268,0.8932012523445801,81.81818181818181,65.17241379310344,16.639209225700164,2.6846616971589063,2.182732343673706,0.4802437424659729
drop_peak_amplitude,peak_amplitude 제외,44,8,peak_amplitude,0.7269250914992103,0.8939857506579089,80.95238095238095,65.6140350877193,16.14497528830313,2.623805546347508,2.246340751647949,0.5035403966903687
drop_peak_amplitude,peak_amplitude 제외,55,8,peak_amplitude,0.7394464207212125,0.8947203263512984,81.81818181818181,66.08391608391608,15.980230642504118,2.6153425859509167,2.267191171646118,0.5067378282546997
drop_peak_amplitude,peak_amplitude 제외,66,8,peak_amplitude,0.7411846644023792,0.8961823459352289,81.38528138528139,65.50522648083624,16.30971993410214,2.605570961292798,2.265697717666626,0.5104168653488159
drop_peak_amplitude,peak_amplitude 제외,77,8,peak_amplitude,0.7365126812398202,0.8939215644322729,82.25108225108225,65.7439446366782,16.30971993410214,2.592977569647832,2.291046142578125,0.5151380300521851
drop_peak_amplitude,peak_amplitude 제외,88,8,peak_amplitude,0.7308680595365821,0.8905339580792628,80.08658008658008,64.23611111111111,16.968698517298186,2.664264033684823,2.173668384552002,0.4881117343902588
drop_crest_factor,crest_factor 제외,11,8,crest_factor,0.7335779561319369,0.89352218347276,80.08658008658008,66.07142857142857,15.650741350906095,2.597664602165849,2.234711170196533,0.5133835077285767
drop_crest_factor,crest_factor 제외,22,8,crest_factor,0.7399534169476875,0.897180798334011,83.54978354978356,66.32302405498282,16.14497528830313,2.6407623255307597,2.190173625946045,0.4971027374267578
