loss_setting,description,seed,lambda_p,gamma,alpha_mode,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
no_physics,에너지 가중항 제외,33,0.0,2.0,balanced,0.7383879881789589,0.8931085389075505,80.95238095238095,64.48275862068965,16.968698517298186,2.668420264714118,2.1748712062835693,0.4865134358406067
no_physics,에너지 가중항 제외,44,0.0,2.0,balanced,0.7346280375114145,0.8939144326294245,82.25108225108225,66.43356643356644,15.815485996705107,2.5898575588220663,2.2561404705047607,0.5163041353225708
no_physics,에너지 가중항 제외,55,0.0,2.0,balanced,0.7389679578836994,0.895911337426988,81.81818181818181,65.85365853658537,16.14497528830313,2.636670373543482,2.2932333946228027,0.49866002798080444
no_physics,에너지 가중항 제외,66,0.0,2.0,balanced,0.7417842387778001,0.8955904062988083,81.81818181818181,64.72602739726027,16.968698517298186,2.6338634713835627,2.2478020191192627,0.49972689151763916
no_physics,에너지 가중항 제외,77,0.0,2.0,balanced,0.7349481624521416,0.8939215644322728,82.68398268398268,65.86206896551724,16.30971993410214,2.5951179665743545,2.286043405532837,0.5143371820449829
no_physics,에너지 가중항 제외,88,0.0,2.0,balanced,0.7312057471393354,0.8905125626707175,80.51948051948052,63.91752577319588,17.29818780889621,2.613205707638526,2.2157154083251953,0.5075435638427734
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",11,0.15,0.0,balanced,0.7312299842729406,0.8937361375582134,81.81818181818181,65.625,16.30971993410214,2.6097380790975366,2.2207729816436768,0.5088496208190918
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",22,0.15,0.0,balanced,0.7362142562243359,0.8946561401256624,81.81818181818181,64.94845360824742,16.803953871499175,2.6693771018607464,2.3264660835266113,0.48614513874053955
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",33,0.15,0.0,balanced,0.7370810493366128,0.893957223446515,80.08658008658008,66.54676258992805,15.321252059308073,2.6085142440538607,2.2959401607513428,0.5093101263046265
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",44,0.15,0.0,balanced,0.7331692812317576,0.892844662202158,81.38528138528139,65.05190311418686,16.639209225700164,2.670366541816192,2.1742136478424072,0.4857640862464905
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",55,0.15,0.0,balanced,0.7202713988200999,0.8903699266137486,79.22077922077922,63.76306620209059,17.133443163097198,2.651720920521621,2.183778762817383,0.4929202198982239
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",66,0.15,0.0,balanced,0.7295812312320212,0.8929017166249457,74.02597402597402,63.80597014925373,15.980230642504118,2.644129126669304,2.2163634300231934,0.495819628238678
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",77,0.15,0.0,balanced,0.7352284477809674,0.8939928824607573,83.11688311688312,65.75342465753425,16.474464579901152,2.5858471442626323,2.2108333110809326,0.5178009271621704
no_focusing,"focusing 항 제거 (gamma=0, 클래스 가중은 유지)",88,0.15,0.0,balanced,0.732845325174781,0.8926877625394922,82.25108225108225,65.97222222222223,16.14497528830313,2.585602983579708,2.160825490951538,0.5178920030593872
plain_bce,"순수 BCE (gamma=0, alpha 없음)",11,0.15,0.0,none,0.7325885198778641,0.8964034318235307,81.38528138528139,66.66666666666667,15.485996705107084,2.5862999054199314,2.2322309017181396,0.5176321268081665
plain_bce,"순수 BCE (gamma=0, alpha 없음)",22,0.15,0.0,none,0.7357734163036462,0.8946062175057233,82.68398268398268,65.18771331058021,16.803953871499175,2.677469653644146,2.2952957153320312,0.4830247759819031
plain_bce,"순수 BCE (gamma=0, alpha 없음)",33,0.15,0.0,none,0.7344216671310648,0.8914468288438634,82.25108225108225,64.40677966101696,17.29818780889621,2.6365922459525737,2.1152825355529785,0.49868977069854736
plain_bce,"순수 BCE (gamma=0, alpha 없음)",44,0.15,0.0,none,0.729196475227619,0.8896924053431466,78.78787878787878,63.41463414634146,17.29818780889621,2.5878062338834367,2.1948082447052,0.5170700550079346
plain_bce,"순수 BCE (gamma=0, alpha 없음)",55,0.15,0.0,none,0.7350644053155908,0.8963963000206824,82.25108225108225,65.97222222222223,16.14497528830313,2.630510631349097,2.181091785430908,0.5009997487068176
plain_bce,"순수 BCE (gamma=0, alpha 없음)",66,0.15,0.0,none,0.7358455909168812,0.8972949071795859,76.62337662337663,66.54135338345864,14.662273476112027,2.6725499600057634,2.1118252277374268,0.4849228262901306
plain_bce,"순수 BCE (gamma=0, alpha 없음)",77,0.15,0.0,none,0.7317936905854083,0.8959683918497757,80.08658008658008,65.37102473498233,16.14497528830313,2.625598839164352,2.195357322692871,0.502861499786377
plain_bce,"순수 BCE (gamma=0, alpha 없음)",88,0.15,0.0,none,0.7294439128979808,0.8940071460664542,82.68398268398268,65.41095890410959,16.639209225700164,2.5959185072476276,2.1989290714263916,0.5140374898910522
neither,에너지 가중·focal 모두 제외,11,0.0,0.0,none,0.734194741160637,0.8970952166998295,81.38528138528139,65.73426573426573,16.14497528830313,2.6016754034247156,2.242809772491455,0.5118796825408936
neither,에너지 가중·focal 모두 제외,22,0.0,0.0,none,0.7380405881938532,0.8952980023820222,81.81818181818181,65.39792387543253,16.474464579901152,2.6056619140762542,2.199092388153076,0.5103827118873596
neither,에너지 가중·focal 모두 제외,33,0.0,0.0,none,0.7298400788361462,0.8926806307366439,80.95238095238095,65.38461538461539,16.30971993410214,2.630011905599705,2.3212010860443115,0.5011889934539795
neither,에너지 가중·focal 모두 제외,44,0.0,0.0,none,0.7303386941645066,0.8898493050058124,78.35497835497836,63.28671328671329,17.29818780889621,2.596900313675182,2.190612316131592,0.5136698484420776
neither,에너지 가중·focal 모두 제외,55,0.0,0.0,none,0.7332059371834249,0.894813039788328,79.65367965367966,64.56140350877193,16.639209225700164,2.690273096197262,2.1356143951416016,0.4780687093734741
neither,에너지 가중·focal 모두 제외,66,0.0,0.0,none,0.7357539537241432,0.8968170763887403,78.35497835497836,63.957597173144876,16.803953871499175,2.6367186595775447,2.129067897796631,0.4986416697502136
neither,에너지 가중·focal 모두 제외,77,0.0,0.0,none,0.7259142089571639,0.8954834292560816,81.81818181818181,65.85365853658537,16.14497528830313,2.5839668440566497,2.163587808609009,0.5185019969940186
neither,에너지 가중·focal 모두 제외,88,0.0,0.0,none,0.731497881824744,0.8961966095409257,80.95238095238095,65.84507042253522,15.980230642504118,2.6400806836601323,2.1733498573303223,0.49736231565475464
