model,seed,target_far,recall
Ours w/o Attention,55,15.0,74.45887445887446
Ours w/o Attention,55,17.5,83.11688311688312
Ours w/o Attention,55,20.0,85.71428571428571
Ours w/o Attention,66,2.5,29.004329004329005
Ours w/o Attention,66,5.0,33.33333333333333
Ours w/o Attention,66,7.5,38.52813852813853
Ours w/o Attention,66,10.0,51.082251082251084
Ours w/o Attention,66,12.5,57.57575757575758
Ours w/o Attention,66,15.0,77.05627705627705
Ours w/o Attention,66,17.5,84.84848484848484
Ours w/o Attention,66,20.0,88.31168831168831
Ours w/o Attention,77,2.5,31.601731601731604
Ours w/o Attention,77,5.0,33.33333333333333
Ours w/o Attention,77,7.5,36.79653679653679
Ours w/o Attention,77,10.0,51.082251082251084
Ours w/o Attention,77,12.5,61.904761904761905
Ours w/o Attention,77,15.0,77.05627705627705
Ours w/o Attention,77,17.5,83.11688311688312
Ours w/o Attention,77,20.0,86.14718614718615
Ours w/o Attention,88,2.5,26.406926406926406
Ours w/o Attention,88,5.0,32.467532467532465
Ours w/o Attention,88,7.5,38.961038961038966
Ours w/o Attention,88,10.0,50.649350649350644
Ours w/o Attention,88,12.5,60.17316017316018
Ours w/o Attention,88,15.0,74.02597402597402
Ours w/o Attention,88,17.5,82.68398268398268
Ours w/o Attention,88,20.0,84.4155844155844
Ours w/o Attention,99,2.5,26.406926406926406
Ours w/o Attention,99,5.0,32.900432900432904
Ours w/o Attention,99,7.5,39.82683982683983
Ours w/o Attention,99,10.0,50.21645021645021
Ours w/o Attention,99,12.5,63.63636363636363
Ours w/o Attention,99,15.0,73.16017316017316
Ours w/o Attention,99,17.5,82.25108225108225
Ours w/o Attention,99,20.0,83.54978354978356
Ours w/o Attention,101,2.5,26.406926406926406
Ours w/o Attention,101,5.0,31.16883116883117
Ours w/o Attention,101,7.5,37.66233766233766
Ours w/o Attention,101,10.0,50.649350649350644
Ours w/o Attention,101,12.5,57.57575757575758
Ours w/o Attention,101,15.0,74.89177489177489
Ours w/o Attention,101,17.5,83.54978354978356
Ours w/o Attention,101,20.0,87.01298701298701
Ours w/o Attention,202,2.5,30.303030303030305
Ours w/o Attention,202,5.0,33.33333333333333
Ours w/o Attention,202,7.5,38.52813852813853
Ours w/o Attention,202,10.0,50.649350649350644
Ours w/o Attention,202,12.5,60.17316017316018
Ours w/o Attention,202,15.0,77.05627705627705
Ours w/o Attention,202,17.5,84.4155844155844
Ours w/o Attention,202,20.0,87.01298701298701
Ours w/o Attention,303,2.5,23.809523809523807
Ours w/o Attention,303,5.0,32.467532467532465
Ours w/o Attention,303,7.5,42.857142857142854
Ours w/o Attention,303,10.0,49.35064935064935
Ours w/o Attention,303,12.5,64.06926406926407
Ours w/o Attention,303,15.0,74.02597402597402
Ours w/o Attention,303,17.5,81.38528138528139
Ours w/o Attention,303,20.0,84.84848484848484
Ours w/o Attention,404,2.5,32.03463203463203
Ours w/o Attention,404,5.0,33.76623376623377
Ours w/o Attention,404,7.5,38.095238095238095
Ours w/o Attention,404,10.0,50.21645021645021
Ours w/o Attention,404,12.5,65.36796536796537
Ours w/o Attention,404,15.0,77.48917748917748
Ours w/o Attention,404,17.5,82.25108225108225
Ours w/o Attention,404,20.0,84.4155844155844
Ours w/o Attention,505,2.5,24.675324675324674
Ours w/o Attention,505,5.0,32.03463203463203
Ours w/o Attention,505,7.5,40.692640692640694
Ours w/o Attention,505,10.0,48.484848484848484
Ours w/o Attention,505,12.5,61.904761904761905
Ours w/o Attention,505,15.0,79.22077922077922
Ours w/o Attention,505,17.5,83.54978354978356
Ours w/o Attention,505,20.0,85.71428571428571
Ours w/o Attention,606,2.5,29.43722943722944
Ours w/o Attention,606,5.0,31.16883116883117
Ours w/o Attention,606,7.5,39.39393939393939
Ours w/o Attention,606,10.0,50.649350649350644
Ours w/o Attention,606,12.5,57.14285714285714
Ours w/o Attention,606,15.0,76.62337662337663
Ours w/o Attention,606,17.5,83.11688311688312
Ours w/o Attention,606,20.0,86.14718614718615
Cross-Timescale Attn,11,2.5,29.87012987012987
Cross-Timescale Attn,11,5.0,33.76623376623377
Cross-Timescale Attn,11,7.5,39.82683982683983
Cross-Timescale Attn,11,10.0,50.649350649350644
Cross-Timescale Attn,11,12.5,59.307359307359306
Cross-Timescale Attn,11,15.0,77.05627705627705
Cross-Timescale Attn,11,17.5,84.4155844155844
Cross-Timescale Attn,11,20.0,86.58008658008657
Cross-Timescale Attn,22,2.5,29.004329004329005
Cross-Timescale Attn,22,5.0,32.900432900432904
Cross-Timescale Attn,22,7.5,38.52813852813853
Cross-Timescale Attn,22,10.0,51.94805194805194
Cross-Timescale Attn,22,12.5,61.904761904761905
Cross-Timescale Attn,22,15.0,74.45887445887446
Cross-Timescale Attn,22,17.5,84.4155844155844
Cross-Timescale Attn,22,20.0,86.58008658008657
Cross-Timescale Attn,33,2.5,26.83982683982684
Cross-Timescale Attn,33,5.0,32.900432900432904
Cross-Timescale Attn,33,7.5,43.722943722943725
Cross-Timescale Attn,33,10.0,50.649350649350644
Cross-Timescale Attn,33,12.5,62.77056277056276
Cross-Timescale Attn,33,15.0,77.48917748917748
Cross-Timescale Attn,33,17.5,83.98268398268398
Cross-Timescale Attn,33,20.0,86.14718614718615
Cross-Timescale Attn,44,2.5,23.376623376623375
Cross-Timescale Attn,44,5.0,31.16883116883117
Cross-Timescale Attn,44,7.5,43.290043290043286
Cross-Timescale Attn,44,10.0,48.484848484848484
Cross-Timescale Attn,44,12.5,58.87445887445888
Cross-Timescale Attn,44,15.0,74.89177489177489
Cross-Timescale Attn,44,17.5,84.4155844155844
Cross-Timescale Attn,44,20.0,86.58008658008657
Cross-Timescale Attn,55,2.5,29.43722943722944
Cross-Timescale Attn,55,5.0,32.467532467532465
Cross-Timescale Attn,55,7.5,39.39393939393939
Cross-Timescale Attn,55,10.0,51.082251082251084
Cross-Timescale Attn,55,12.5,60.17316017316018
Cross-Timescale Attn,55,15.0,74.89177489177489
Cross-Timescale Attn,55,17.5,85.28138528138528
Cross-Timescale Attn,55,20.0,87.01298701298701
Cross-Timescale Attn,66,2.5,28.13852813852814
Cross-Timescale Attn,66,5.0,37.22943722943723
Cross-Timescale Attn,66,7.5,45.887445887445885
Cross-Timescale Attn,66,10.0,50.21645021645021
Cross-Timescale Attn,66,12.5,59.307359307359306
Cross-Timescale Attn,66,15.0,74.89177489177489
